%  columns="iteration, evaluation, void, void, void, xmean" (startseed=2960232141, 2016/01/13 19:41:57.7)
0 1 0 0 0 -3.508753e-02 3.234913e+00 -2.440044e+00 -2.407117e+00 2.879276e+00 
1 9 0 0 0 8.687762e-01 1.578823e+00 -2.027883e+00 -1.504303e+00 2.831583e+00 
2 17 0 0 0 -1.678319e-01 1.100512e+00 -1.814249e+00 -9.534835e-01 2.861343e+00 
3 25 0 0 0 -5.741013e-02 9.044854e-01 -1.384039e+00 -1.170709e+00 2.409753e+00 
4 33 0 0 0 7.665094e-01 6.410763e-01 -2.164853e-01 -4.729542e-01 2.018070e+00 
5 41 0 0 0 -2.224988e-01 5.933900e-01 -9.390095e-01 1.365319e-02 1.031352e+00 
6 49 0 0 0 1.752636e+00 -3.501005e-01 -8.463400e-01 -7.020759e-01 9.134038e-01 
7 57 0 0 0 1.101500e+00 -9.369174e-01 -1.317076e+00 -7.261034e-01 5.397024e-01 
8 65 0 0 0 -2.819263e-01 -2.774914e-01 -4.957239e-01 -2.788665e-01 1.141837e+00 
9 73 0 0 0 -1.954996e-02 3.386278e-01 1.911026e-01 3.540578e-01 1.599393e+00 
10 81 0 0 0 -2.435241e-01 -3.390827e-01 -9.495917e-01 2.692894e-02 1.631313e+00 
11 89 0 0 0 -4.975764e-01 -5.302957e-01 -6.088879e-01 -2.344254e-01 2.259453e+00 
12 97 0 0 0 -1.531230e-01 -4.017214e-01 -8.722450e-01 -4.251766e-02 1.698138e+00 
13 105 0 0 0 2.352782e-01 -7.420880e-01 -9.956165e-01 1.716601e-01 1.726654e+00 
14 113 0 0 0 3.432009e-01 -1.269048e+00 -9.961829e-01 -4.911512e-01 1.527134e+00 
15 121 0 0 0 3.418743e-01 -1.560007e+00 -1.167960e+00 -9.177581e-01 1.590552e+00 
16 129 0 0 0 6.499416e-01 -1.591354e+00 -1.382697e+00 -1.427639e+00 1.590442e+00 
17 137 0 0 0 -5.129588e-02 -1.309438e+00 -1.494912e+00 -1.084531e+00 1.790828e+00 
18 145 0 0 0 3.141037e-01 -1.525064e+00 -1.186073e+00 -1.253631e+00 1.637745e+00 
19 153 0 0 0 2.110299e-01 -1.213674e+00 -1.085798e+00 -9.586124e-01 2.024684e+00 
20 161 0 0 0 4.610173e-01 -1.544753e+00 -1.286818e+00 -1.337089e+00 1.559708e+00 
21 169 0 0 0 1.106036e-01 -1.169220e+00 -1.187874e+00 -1.135381e+00 1.591094e+00 
22 177 0 0 0 2.789835e-01 -1.084179e+00 -1.007392e+00 -9.491549e-01 1.621587e+00 
23 185 0 0 0 3.476354e-01 -1.204599e+00 -1.202391e+00 -9.302106e-01 1.577388e+00 
24 193 0 0 0 2.579969e-01 -1.233095e+00 -1.154489e+00 -8.001954e-01 1.683404e+00 
25 201 0 0 0 2.541783e-01 -1.267298e+00 -1.067708e+00 -7.603342e-01 1.622981e+00 
26 209 0 0 0 3.058893e-01 -1.367653e+00 -1.028336e+00 -8.359975e-01 1.563454e+00 
27 217 0 0 0 1.504446e-01 -1.353558e+00 -9.772202e-01 -8.166542e-01 1.563254e+00 
28 225 0 0 0 1.876281e-01 -1.284728e+00 -8.880513e-01 -8.757389e-01 1.601697e+00 
29 233 0 0 0 2.810404e-01 -1.341347e+00 -8.613068e-01 -9.290789e-01 1.611325e+00 
30 241 0 0 0 2.804707e-01 -1.463126e+00 -8.848529e-01 -1.071412e+00 1.508481e+00 
31 249 0 0 0 3.254657e-01 -1.409962e+00 -8.078654e-01 -9.087463e-01 1.527190e+00 
32 257 0 0 0 3.463465e-01 -1.354981e+00 -7.987461e-01 -7.825302e-01 1.660121e+00 
33 265 0 0 0 3.881799e-01 -1.409761e+00 -8.481718e-01 -8.289600e-01 1.742087e+00 
34 273 0 0 0 3.782942e-01 -1.372021e+00 -8.379652e-01 -8.612303e-01 1.812066e+00 
35 281 0 0 0 2.674999e-01 -1.292748e+00 -7.676476e-01 -7.139930e-01 1.836389e+00 
36 289 0 0 0 3.133294e-01 -1.308959e+00 -7.534955e-01 -6.561097e-01 1.862439e+00 
37 297 0 0 0 3.187084e-01 -1.337571e+00 -7.469471e-01 -6.906141e-01 1.867386e+00 
