%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=2960232141, 2016/01/13 19:41:57.7)
40 321 9.819835e-02 8.351260e-01 3.589157e-01 3.589157e-01 3.986382e-01 4.577266e-01 5.616114e-01 8.351260e-01 
41 329 9.604693e-02 8.040293e-01 3.471764e-01 3.471764e-01 3.880214e-01 4.957053e-01 5.456978e-01 8.040293e-01 
42 337 9.653269e-02 8.184978e-01 3.574627e-01 3.574627e-01 3.734723e-01 4.942440e-01 5.351919e-01 8.184978e-01 
43 345 9.081298e-02 7.893649e-01 3.536918e-01 3.536918e-01 3.711405e-01 4.769459e-01 5.261379e-01 7.893649e-01 
44 353 8.324997e-02 7.562329e-01 3.441258e-01 3.441258e-01 3.785896e-01 4.640980e-01 5.112876e-01 7.562329e-01 
45 361 8.167244e-02 7.301242e-01 3.348045e-01 3.348045e-01 3.951086e-01 4.517078e-01 4.916525e-01 7.301242e-01 
46 369 8.467189e-02 8.135963e-01 3.233809e-01 3.233809e-01 3.995931e-01 4.371402e-01 4.791621e-01 8.135963e-01 
47 377 8.596081e-02 8.281096e-01 3.137801e-01 3.137801e-01 3.916836e-01 4.214650e-01 4.755687e-01 8.281096e-01 
48 385 9.450458e-02 8.236894e-01 3.215093e-01 3.215093e-01 3.906264e-01 4.346018e-01 4.600236e-01 8.236894e-01 
49 393 9.362894e-02 8.082977e-01 3.103858e-01 3.103858e-01 3.964240e-01 4.258821e-01 4.610247e-01 8.082977e-01 
50 401 9.009764e-02 8.179661e-01 3.011294e-01 3.011294e-01 3.896926e-01 4.175446e-01 4.455554e-01 8.179661e-01 
51 409 9.513336e-02 8.503935e-01 3.015305e-01 3.015305e-01 3.772726e-01 4.205176e-01 4.338864e-01 8.503935e-01 
52 417 8.437936e-02 8.421814e-01 2.899762e-01 2.899762e-01 3.774904e-01 4.234626e-01 4.310388e-01 8.421814e-01 
53 425 8.467331e-02 8.153452e-01 2.831474e-01 2.831474e-01 3.730299e-01 4.059684e-01 4.583288e-01 8.153452e-01 
