%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=2960232141, 2016/01/13 19:41:57.7)
1 9 1.807640e+00 1.100500e+00  1.574546155388744637e+02  1.574546155388744637e+02  2.332761883170475414e+02  2.663476897599108634e+04
2 17 1.620622e+00 1.123394e+00  1.164074877501965091e+02  1.164074877501965091e+02  1.691263150443777477e+02  2.453231767423214933e+02
3 25 1.387123e+00 1.169455e+00  1.164074877501965091e+02  1.213790547511480327e+02  1.549731313183124257e+02  2.503278252817963221e+03
4 33 1.380337e+00 1.253944e+00  1.040189405670687108e+02  1.040189405670687108e+02  1.435764875590551526e+02  1.702565035586510191e+02
5 41 1.342209e+00 1.264031e+00  1.040189405670687108e+02  1.119809646366612554e+02  1.631237028819248280e+02  7.813877452578906286e+02
6 49 1.395616e+00 1.346369e+00  8.671245541807824964e+01  8.671245541807824964e+01  1.376710792500285834e+02  1.558847607479246733e+02
7 57 1.334846e+00 1.380487e+00  7.510608099578290364e+01  7.510608099578290364e+01  1.378991584303551008e+02  1.477535441410193016e+03
8 65 1.209630e+00 1.458907e+00  7.510608099578290364e+01  9.996799933111464043e+01  1.183353968033147510e+02  1.412102942282631943e+02
9 73 1.165162e+00 1.515106e+00  7.510608099578290364e+01  9.374231600069616377e+01  1.330441357314358015e+02  1.604475283020344420e+02
10 81 1.027054e+00 1.523615e+00  7.510608099578290364e+01  1.004101782615749130e+02  1.247526462455806922e+02  1.507310213435422384e+02
11 89 9.654677e-01 1.510203e+00  7.510608099578290364e+01  1.051313527482627990e+02  1.379694899707408808e+02  1.486977391683439862e+02
12 97 7.665403e-01 1.519790e+00  7.510608099578290364e+01  8.570421630247813027e+01  1.300803014783330127e+02  1.611144252742953995e+02
13 105 6.877616e-01 1.504244e+00  7.510608099578290364e+01  9.534032358771003146e+01  1.254685356095559712e+02  1.433015594189244553e+02
14 113 6.907353e-01 1.546167e+00  7.510608099578290364e+01  8.612063314655195256e+01  1.116729411578273670e+02  1.411007412362997115e+02
15 121 7.020608e-01 1.686911e+00  7.510608099578290364e+01  8.417696543682525601e+01  1.101598668159126930e+02  1.203248533807831961e+02
16 129 7.147142e-01 1.878132e+00  7.510608099578290364e+01  9.117948159776193506e+01  1.143007796522017401e+02  1.406691204378186058e+02
