%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=2960232141, 2016/01/13 19:41:57.7)
1 9  1.574546155388744637e+02 0 0 1.964495e+00 7.194323e-01 -1.154356e+00 -2.516400e-01 3.439104e+00 
2 17  1.164074877501965091e+02 0 0 2.278629e-01 1.076777e-01 -2.254708e+00 -2.110288e+00 3.524691e+00 
3 25  1.213790547511480327e+02 0 0 1.276323e+00 -3.928904e-02 -2.291528e+00 1.248439e-01 3.093901e+00 
4 33  1.040189405670687108e+02 0 0 6.963780e-01 2.121134e-01 3.487234e-01 -8.586211e-02 1.919586e+00 
5 41  1.119809646366612554e+02 0 0 -7.850530e-01 5.127354e-01 -3.164552e-02 1.526801e+00 3.241619e-01 
6 49  8.671245541807824964e+01 0 0 1.569796e+00 -2.517368e-01 -1.389625e+00 -2.876122e-01 1.149230e+00 
7 57  7.510608099578290364e+01 0 0 6.215217e-01 -1.031456e+00 -7.402341e-01 4.001569e-02 7.518448e-01 
8 65  9.996799933111464043e+01 0 0 1.028774e+00 -1.227389e+00 -1.336918e-01 -1.119860e+00 2.542053e+00 
9 73  9.374231600069616377e+01 0 0 -1.271643e+00 1.024278e+00 -1.830780e-01 1.449190e+00 1.203328e+00 
10 81  1.004101782615749130e+02 0 0 -2.537483e-01 -3.419234e-01 -1.677497e+00 -3.298845e-01 1.589069e+00 
11 89  1.051313527482627990e+02 0 0 -3.987999e-01 -9.017044e-01 -1.145466e+00 -1.018169e+00 2.059891e+00 
12 97  8.570421630247813027e+01 0 0 4.709402e-01 -5.227848e-01 -9.696545e-01 -4.728271e-01 1.465195e+00 
13 105  9.534032358771003146e+01 0 0 6.108986e-01 -7.685881e-01 -8.309418e-01 3.796223e-01 1.846472e+00 
14 113  8.612063314655195256e+01 0 0 1.235411e-02 -1.595388e+00 -1.098182e+00 -9.931560e-01 1.303657e+00 
15 121  8.417696543682525601e+01 0 0 2.489711e-01 -1.271411e+00 -1.045796e+00 -6.636386e-01 1.636075e+00 
16 129  9.117948159776193506e+01 0 0 8.925557e-01 -2.159030e+00 -1.239545e+00 -1.884779e+00 1.516484e+00 
17 137  8.127823454159415917e+01 0 0 -2.892826e-01 -1.009074e+00 -1.287885e+00 -1.042382e+00 1.591063e+00 
18 145  1.052089909658305800e+02 0 0 5.190883e-01 -1.607510e+00 -1.276699e+00 -1.407823e+00 1.963568e+00 
19 153  7.910873466704398993e+01 0 0 8.001922e-02 -1.143400e+00 -8.613635e-01 -6.185689e-01 2.360414e+00 
20 161  9.310050752928617612e+01 0 0 4.752007e-01 -1.808830e+00 -1.380374e+00 -1.650722e+00 1.128140e+00 
21 169  8.149320161800508799e+01 0 0 -2.553997e-01 -9.509743e-01 -1.074999e+00 -1.098445e+00 1.830778e+00 
22 177  7.317650374978109085e+01 0 0 2.354053e-01 -9.490939e-01 -9.560629e-01 -8.411260e-01 1.654741e+00 
23 185  5.719966971472194217e+01 0 0 5.510890e-01 -1.497767e+00 -1.313247e+00 -9.048794e-01 1.487733e+00 
24 193  7.393647152186174765e+01 0 0 4.415356e-01 -1.199322e+00 -1.113014e+00 -6.731368e-01 1.719492e+00 
25 201  9.171249953591447479e+01 0 0 3.818972e-01 -1.614030e+00 -1.096290e+00 -9.275307e-01 1.710279e+00 
26 209  8.163304061717580851e+01 0 0 5.063313e-01 -1.509639e+00 -9.858350e-01 -8.557601e-01 1.649556e+00 
27 217  7.318000135255823579e+01 0 0 1.073125e-01 -1.295037e+00 -9.334737e-01 -8.267407e-01 1.570960e+00 
28 225  6.973855154075290841e+01 0 0 2.934340e-01 -1.314016e+00 -7.614902e-01 -1.018066e+00 1.552804e+00 
29 233  8.898793501278115059e+01 0 0 1.815219e-01 -1.319852e+00 -8.144253e-01 -9.228954e-01 1.538081e+00 
30 241  6.617247110288654710e+01 0 0 3.124975e-01 -1.574289e+00 -9.990156e-01 -1.136003e+00 1.582924e+00 
31 249  7.239905248744491928e+01 0 0 3.834827e-01 -1.483555e+00 -8.078111e-01 -8.438388e-01 1.497255e+00 
32 257  7.239362042411117670e+01 0 0 4.265335e-01 -1.394192e+00 -8.281391e-01 -6.603796e-01 1.731358e+00 
33 265  8.190442436668615755e+01 0 0 4.233994e-01 -1.441452e+00 -9.201972e-01 -9.366431e-01 1.758415e+00 
34 273  7.966905549884516802e+01 0 0 4.860405e-01 -1.407696e+00 -9.160512e-01 -9.125888e-01 1.879224e+00 
35 281  8.578407765916585959e+01 0 0 2.669464e-01 -1.311286e+00 -7.722467e-01 -7.728014e-01 1.795764e+00 
36 289  1.001318557719553439e+02 0 0 2.890026e-01 -1.362091e+00 -7.533849e-01 -6.346730e-01 1.736166e+00 
37 297  7.587224751113626553e+01 0 0 3.025292e-01 -1.376378e+00 -7.670808e-01 -6.844535e-01 1.914086e+00 
38 305  8.889732833397187051e+01 0 0 3.639010e-01 -1.343297e+00 -8.307833e-01 -6.157314e-01 1.866821e+00 
39 313  8.740417408883168093e+01 0 0 3.482359e-01 -1.272414e+00 -7.539590e-01 -6.363338e-01 1.915462e+00 
40 321  6.878970752628687535e+01 0 0 3.153951e-01 -1.280708e+00 -8.208384e-01 -7.051807e-01 1.906523e+00 
41 329  7.726138807717975965e+01 0 0 3.415318e-01 -1.328699e+00 -7.663870e-01 -6.143385e-01 1.813917e+00 
42 337  1.014146872299543958e+02 0 0 3.933597e-01 -1.254399e+00 -7.746511e-01 -5.980971e-01 1.842950e+00 
43 345  5.876871432503989467e+01 0 0 3.138700e-01 -1.297379e+00 -7.733643e-01 -5.874025e-01 1.838760e+00 
44 353  5.919888763093496209e+01 0 0 3.156016e-01 -1.275427e+00 -8.259692e-01 -5.908864e-01 1.831281e+00 
45 361  7.809661354540074285e+01 0 0 3.362276e-01 -1.272044e+00 -8.417549e-01 -5.675178e-01 1.877355e+00 
46 369  8.652758472426589265e+01 0 0 2.831480e-01 -1.260142e+00 -8.384968e-01 -4.612838e-01 1.879752e+00 
47 377  9.508322319589889560e+01 0 0 2.866235e-01 -1.261262e+00 -8.124831e-01 -4.521730e-01 1.909187e+00 
48 385  8.274578969328679534e+01 0 0 2.914621e-01 -1.315475e+00 -8.130761e-01 -4.101092e-01 1.906161e+00 
49 393  9.210714037847580471e+01 0 0 3.169352e-01 -1.271732e+00 -8.626026e-01 -4.271488e-01 1.952504e+00 
50 401  7.277712472934433663e+01 0 0 2.792892e-01 -1.318049e+00 -8.806891e-01 -5.234542e-01 1.886240e+00 
51 409  8.867310729751578435e+01 0 0 2.818944e-01 -1.290433e+00 -9.048099e-01 -5.853333e-01 1.827167e+00 
52 417  8.170261700533762905e+01 0 0 2.713329e-01 -1.324878e+00 -9.264781e-01 -4.763215e-01 1.887298e+00 
53 425  9.136842301214630879e+01 0 0 2.630104e-01 -1.323018e+00 -8.702387e-01 -4.860754e-01 1.796857e+00 
54 433  8.662640969354947629e+01 0 0 3.306410e-01 -1.286380e+00 -8.122059e-01 -4.668854e-01 1.898322e+00 
55 441  7.195865727634220832e+01 0 0 2.788025e-01 -1.336126e+00 -8.700148e-01 -4.979439e-01 1.868795e+00 
56 449  8.304483808008663459e+01 0 0 2.655346e-01 -1.329310e+00 -8.190968e-01 -4.286451e-01 1.901494e+00 
57 457  7.392446371327380916e+01 0 0 2.820889e-01 -1.320414e+00 -8.424931e-01 -4.384605e-01 1.878955e+00 
58 465  7.807342499657858070e+01 0 0 2.684980e-01 -1.339296e+00 -8.430588e-01 -4.315566e-01 1.818137e+00 
59 473  8.437314407377147063e+01 0 0 2.426227e-01 -1.262054e+00 -8.223266e-01 -4.558521e-01 1.816724e+00 
60 481  7.819032354579817934e+01 0 0 2.718465e-01 -1.323761e+00 -8.511961e-01 -4.364215e-01 1.867012e+00 
61 489  7.251906846819963448e+01 0 0 2.856714e-01 -1.298283e+00 -8.732147e-01 -4.967753e-01 1.869815e+00 
62 497  9.006900586085629357e+01 0 0 2.108530e-01 -1.269832e+00 -8.230365e-01 -4.947390e-01 1.817977e+00 
63 505  8.542817307716768482e+01 0 0 2.120487e-01 -1.269263e+00 -8.424212e-01 -4.812510e-01 1.771154e+00 
64 513  6.967228035850260426e+01 0 0 2.666375e-01 -1.322269e+00 -8.699115e-01 -4.750484e-01 1.863323e+00 
65 521  7.087841272172232721e+01 0 0 2.699885e-01 -1.330942e+00 -8.851270e-01 -5.224990e-01 1.869240e+00 
66 529  6.566373911864829438e+01 0 0 2.883188e-01 -1.309099e+00 -8.875817e-01 -4.847859e-01 1.904470e+00 
67 537  6.833543586548074700e+01 0 0 2.812437e-01 -1.321586e+00 -8.559690e-01 -4.956246e-01 1.894732e+00 
68 545  7.635835003155470702e+01 0 0 2.503314e-01 -1.334659e+00 -8.668272e-01 -4.917884e-01 1.846124e+00 
69 553  6.949486404878051360e+01 0 0 2.667984e-01 -1.334776e+00 -8.803477e-01 -4.996467e-01 1.864099e+00 
70 561  7.993995233642213805e+01 0 0 2.597052e-01 -1.324903e+00 -8.449058e-01 -4.650646e-01 1.870503e+00 
71 569  7.272880728834503827e+01 0 0 2.749280e-01 -1.320059e+00 -8.423944e-01 -4.907460e-01 1.876643e+00 
72 577  6.808469465501678997e+01 0 0 2.777846e-01 -1.326560e+00 -8.294565e-01 -4.657217e-01 1.882748e+00 
73 585  6.530727022367145196e+01 0 0 2.863646e-01 -1.323606e+00 -8.339111e-01 -4.832160e-01 1.890237e+00 
74 593  6.621630725014732377e+01 0 0 3.083861e-01 -1.319322e+00 -8.091665e-01 -4.515799e-01 1.907591e+00 
75 601  6.066639756988405452e+01 0 0 3.074198e-01 -1.314971e+00 -8.369201e-01 -4.748090e-01 1.902943e+00 
76 609  5.832891249381084720e+01 0 0 3.077294e-01 -1.305782e+00 -8.575204e-01 -4.874378e-01 1.898058e+00 
77 617  6.294230627895831276e+01 0 0 3.015546e-01 -1.318715e+00 -8.613867e-01 -4.940837e-01 1.901744e+00 
78 625  5.900107506215326225e+01 0 0 2.986804e-01 -1.311783e+00 -8.528718e-01 -4.809520e-01 1.894472e+00 
79 633  6.048279759538563383e+01 0 0 2.952767e-01 -1.318787e+00 -8.615545e-01 -4.936040e-01 1.886914e+00 
80 641  5.957154313029848680e+01 0 0 2.986596e-01 -1.312440e+00 -8.583386e-01 -4.770674e-01 1.906626e+00 
81 649  6.173093070194023824e+01 0 0 2.885481e-01 -1.323807e+00 -8.483112e-01 -4.855796e-01 1.885103e+00 
82 657  5.940097141819897786e+01 0 0 3.035238e-01 -1.312999e+00 -8.562239e-01 -4.892374e-01 1.899955e+00 
83 665  5.981044714800617612e+01 0 0 3.110622e-01 -1.313013e+00 -8.505712e-01 -4.750686e-01 1.911544e+00 
84 673  5.938999652284682185e+01 0 0 3.076949e-01 -1.311231e+00 -8.514661e-01 -4.625373e-01 1.916708e+00 
85 681  5.860715505378856705e+01 0 0 3.025499e-01 -1.311659e+00 -8.537866e-01 -4.754971e-01 1.906548e+00 
86 689  5.858283449794311792e+01 0 0 2.997168e-01 -1.316064e+00 -8.555243e-01 -4.739099e-01 1.899613e+00 
87 697  5.813143796832451216e+01 0 0 3.012132e-01 -1.313134e+00 -8.587612e-01 -4.768282e-01 1.895910e+00 
